    66    0.17766E+04    0.27106E+00   -0.41253E+01    0.56145E+07    0.10509E+05
    67    0.18002E+04    0.28303E+00   -0.45244E+01    0.55848E+07    0.10305E+05
    68    0.18241E+04    0.29527E+00   -0.49359E+01    0.55548E+07    0.10106E+05
    69    0.18482E+04    0.30777E+00   -0.53598E+01    0.55247E+07    0.99123E+04
    70    0.18725E+04    0.32052E+00   -0.57961E+01    0.54944E+07    0.97249E+04
    71    0.18971E+04    0.33353E+00   -0.62447E+01    0.54639E+07    0.95440E+04
    72    0.19219E+04    0.34678E+00   -0.67055E+01    0.54334E+07    0.93694E+04
    73    0.19469E+04    0.36027E+00   -0.71784E+01    0.54027E+07    0.92005E+04
    74    0.19722E+04    0.37398E+00   -0.76631E+01    0.53720E+07    0.90371E+04
    75    0.19978E+04    0.38790E+00   -0.81594E+01    0.53412E+07    0.88785E+04
    76    0.20235E+04    0.40201E+00   -0.86672E+01    0.53103E+07    0.87244E+04
    77    0.20495E+04    0.41632E+00   -0.91863E+01    0.52794E+07    0.85743E+04
    78    0.20758E+04    0.43080E+00   -0.97165E+01    0.52484E+07    0.84277E+04
    79    0.21023E+04    0.44545E+00   -0.10258E+02    0.52174E+07    0.82843E+04
    80    0.21290E+04    0.46025E+00   -0.10809E+02    0.51864E+07    0.81435E+04
    81    0.21559E+04    0.47519E+00   -0.11372E+02    0.51554E+07    0.80051E+04
    82    0.21831E+04    0.49025E+00   -0.11944E+02    0.51244E+07    0.78689E+04
    83    0.22105E+04    0.50542E+00   -0.12525E+02    0.50934E+07    0.77351E+04
    84    0.22382E+04    0.52068E+00   -0.13115E+02    0.50624E+07    0.76038E+04
    85    0.22661E+04    0.53600E+00   -0.13713E+02    0.50315E+07    0.74750E+04
    86    0.22942E+04    0.55137E+00   -0.14319E+02    0.50007E+07    0.73488E+04
    87    0.23226E+04    0.56677E+00   -0.14931E+02    0.49699E+07    0.72253E+04
    88    0.23512E+04    0.58218E+00   -0.15549E+02    0.49392E+07    0.71045E+04
    89    0.23801E+04    0.59758E+00   -0.16173E+02    0.49086E+07    0.69866E+04
    90    0.24092E+04    0.61295E+00   -0.16801E+02    0.48780E+07    0.68717E+04
    91    0.24385E+04    0.62828E+00   -0.17434E+02    0.48476E+07    0.67596E+04
    92    0.24681E+04    0.64355E+00   -0.18070E+02    0.48174E+07    0.66505E+04
    93    0.24979E+04    0.65876E+00   -0.18710E+02    0.47872E+07    0.65442E+04
    94    0.25280E+04    0.67388E+00   -0.19353E+02    0.47572E+07    0.64405E+04
    95    0.25582E+04    0.68891E+00   -0.19998E+02    0.47273E+07    0.63394E+04
    96    0.25887E+04    0.70384E+00   -0.20646E+02    0.46976E+07    0.62408E+04
    97    0.26194E+04    0.71865E+00   -0.21295E+02    0.46679E+07    0.61445E+04
    98    0.26504E+04    0.73334E+00   -0.21945E+02    0.46385E+07    0.60505E+04
    99    0.26815E+04    0.74789E+00   -0.22597E+02    0.46091E+07    0.59586E+04
   100    0.27128E+04    0.76229E+00   -0.23249E+02    0.45799E+07    0.58688E+04
   101    0.27444E+04    0.77653E+00   -0.23901E+02    0.45509E+07    0.57808E+04
   102    0.27761E+04    0.79060E+00   -0.24552E+02    0.45220E+07    0.56947E+04
   103    0.28080E+04    0.80449E+00   -0.25203E+02    0.44933E+07    0.56103E+04
   104    0.28402E+04    0.81819E+00   -0.25853E+02    0.44647E+07    0.55275E+04
   105    0.28724E+04    0.83167E+00   -0.26501E+02    0.44363E+07    0.54462E+04
   106    0.29049E+04    0.84494E+00   -0.27148E+02    0.44080E+07    0.53663E+04
   107    0.29376E+04    0.85799E+00   -0.27791E+02    0.43800E+07    0.52877E+04
   108    0.29704E+04    0.87079E+00   -0.28433E+02    0.43521E+07    0.52102E+04
   109    0.30033E+04    0.88334E+00   -0.29070E+02    0.43244E+07    0.51338E+04
   110    0.30365E+04    0.89563E+00   -0.29705E+02    0.42968E+07    0.50584E+04
   111    0.30698E+04    0.90764E+00   -0.30335E+02    0.42694E+07    0.49838E+04
   112    0.31032E+04    0.91937E+00   -0.30961E+02    0.42423E+07    0.49102E+04
   113    0.31368E+04    0.93081E+00   -0.31581E+02    0.42153E+07    0.48374E+04
   114    0.31705E+04    0.94194E+00   -0.32196E+02    0.41885E+07    0.47655E+04
   115    0.32043E+04    0.95275E+00   -0.32804E+02    0.41618E+07    0.46945E+04
   116    0.32382E+04    0.96323E+00   -0.33406E+02    0.41354E+07    0.46245E+04
   117    0.32723E+04    0.97338E+00   -0.33999E+02    0.41091E+07    0.45555E+04
   118    0.33064E+04    0.98318E+00   -0.34585E+02    0.40830E+07    0.44874E+04
   119    0.33407E+04    0.99262E+00   -0.35162E+02    0.40572E+07    0.44204E+04
   120    0.33750E+04    0.10017E+01   -0.35730E+02    0.40315E+07    0.43544E+04
   121    0.34093E+04    0.10104E+01   -0.36287E+02    0.40059E+07    0.42895E+04
   122    0.34438E+04    0.10187E+01   -0.36834E+02    0.39806E+07    0.42256E+04
   123    0.34783E+04    0.10266E+01   -0.37370E+02    0.39555E+07    0.41629E+04
   124    0.35128E+04    0.10341E+01   -0.37895E+02    0.39305E+07    0.41012E+04
   125    0.35474E+04    0.10411E+01   -0.38407E+02    0.39057E+07    0.40407E+04
   126    0.35820E+04    0.10478E+01   -0.38906E+02    0.38812E+07    0.39813E+04
   127    0.36167E+04    0.10540E+01   -0.39391E+02    0.38568E+07    0.39231E+04
   128    0.36513E+04    0.10597E+01   -0.39863E+02    0.38326E+07    0.38661E+04
   129    0.36860E+04    0.10650E+01   -0.40320E+02    0.38086E+07    0.38103E+04
   130    0.37206E+04    0.10698E+01   -0.40761E+02    0.37848E+07    0.37558E+04
   131    0.37552E+04    0.10741E+01   -0.41187E+02    0.37611E+07    0.37025E+04
   132    0.37899E+04    0.10779E+01   -0.41596E+02    0.37377E+07    0.36504E+04
   133    0.38244E+04    0.10812E+01   -0.41989E+02    0.37145E+07    0.35995E+04
   134    0.38590E+04    0.10841E+01   -0.42365E+02    0.36914E+07    0.35497E+04
   135    0.38935E+04    0.10865E+01   -0.42722E+02    0.36685E+07    0.35010E+04
   136    0.39279E+04    0.10884E+01   -0.43062E+02    0.36458E+07    0.34534E+04
   137    0.39623E+04    0.10898E+01   -0.43384E+02    0.36233E+07    0.34068E+04
   138    0.39966E+04    0.10907E+01   -0.43686E+02    0.36010E+07    0.33611E+04
   139    0.40308E+04    0.10912E+01   -0.43969E+02    0.35789E+07    0.33164E+04
   140    0.40649E+04    0.10912E+01   -0.44233E+02    0.35569E+07    0.32725E+04
   141    0.40990E+04    0.10907E+01   -0.44476E+02    0.35351E+07    0.32295E+04
   142    0.41329E+04    0.10897E+01   -0.44698E+02    0.35135E+07    0.31873E+04
   143    0.41667E+04    0.10883E+01   -0.44899E+02    0.34920E+07    0.31458E+04
   144    0.42003E+04    0.10864E+01   -0.45079E+02    0.34708E+07    0.31051E+04
   145    0.42338E+04    0.10840E+01   -0.45237E+02    0.34497E+07    0.30650E+04
   146    0.42672E+04    0.10811E+01   -0.45372E+02    0.34288E+07    0.30256E+04
   147    0.43004E+04    0.10778E+01   -0.45484E+02    0.34080E+07    0.29868E+04
   148    0.43335E+04    0.10740E+01   -0.45573E+02    0.33874E+07    0.29485E+04
   149    0.43663E+04    0.10697E+01   -0.45638E+02    0.33670E+07    0.29108E+04
   150    0.43990E+04    0.10650E+01   -0.45680E+02    0.33467E+07    0.28735E+04
   151    0.44315E+04    0.10598E+01   -0.45696E+02    0.33267E+07    0.28366E+04
   152    0.44638E+04    0.10541E+01   -0.45688E+02    0.33067E+07    0.28002E+04
   153    0.44959E+04    0.10481E+01   -0.45655E+02    0.32870E+07    0.27642E+04
   154    0.45278E+04    0.10416E+01   -0.45597E+02    0.32674E+07    0.27287E+04
   155    0.45594E+04    0.10347E+01   -0.45513E+02    0.32479E+07    0.26935E+04
   156    0.45909E+04    0.10274E+01   -0.45405E+02    0.32286E+07    0.26588E+04
   157    0.46220E+04    0.10198E+01   -0.45271E+02    0.32095E+07    0.26245E+04
   158    0.46529E+04    0.10118E+01   -0.45112E+02    0.31905E+07    0.25907E+04
   159    0.46836E+04    0.10036E+01   -0.44927E+02    0.31717E+07    0.25572E+04
   160    0.47140E+04    0.99498E+00   -0.44716E+02    0.31531E+07    0.25242E+04
   161    0.47441E+04    0.98610E+00   -0.44479E+02    0.31346E+07    0.24917E+04
   162    0.47739E+04    0.97696E+00   -0.44217E+02    0.31162E+07    0.24595E+04
   163    0.48034E+04    0.96756E+00   -0.43928E+02    0.30980E+07    0.24278E+04
   164    0.48326E+04    0.95794E+00   -0.43613E+02    0.30800E+07    0.23964E+04
   165    0.48615E+04    0.94809E+00   -0.43272E+02    0.30621E+07    0.23656E+04
   166    0.48900E+04    0.93805E+00   -0.42904E+02    0.30443E+07    0.23351E+04
   167    0.49183E+04    0.92783E+00   -0.42510E+02    0.30267E+07    0.23050E+04
