     2    0.11856E+04    0.94265E-01    0.47277E+01    0.10530E+07    0.33125E+05
     3    0.11055E+04    0.20741E+00    0.68448E+01    0.16220E+07    0.39635E+05
     4    0.10258E+04    0.31801E+00    0.79485E+01    0.21264E+07    0.42920E+05
     5    0.95919E+03    0.39707E+00    0.82704E+01    0.25719E+07    0.44472E+05
     6    0.90573E+03    0.42920E+00    0.80766E+01    0.29652E+07    0.45013E+05
     7    0.86368E+03    0.41375E+00    0.75602E+01    0.33138E+07    0.44947E+05
     8    0.83159E+03    0.36129E+00    0.68487E+01    0.36239E+07    0.44490E+05
     9    0.80681E+03    0.28803E+00    0.60507E+01    0.39011E+07    0.43721E+05
    10    0.78887E+03    0.21051E+00    0.52378E+01    0.41494E+07    0.42753E+05
    11    0.77688E+03    0.14193E+00    0.44502E+01    0.43728E+07    0.41663E+05
    12    0.76939E+03    0.89149E-01    0.37028E+01    0.45738E+07    0.40524E+05
    13    0.76509E+03    0.55689E-01    0.30096E+01    0.47549E+07    0.39399E+05
    14    0.76361E+03    0.37544E-01    0.24015E+01    0.49180E+07    0.38291E+05
    15    0.76478E+03    0.28834E-01    0.19135E+01    0.50651E+07    0.37190E+05
    16    0.76839E+03    0.24533E-01    0.15709E+01    0.51983E+07    0.36090E+05
    17    0.77409E+03    0.23030E-01    0.13594E+01    0.53186E+07    0.34999E+05
    18    0.78146E+03    0.23571E-01    0.12545E+01    0.54272E+07    0.33934E+05
    19    0.79010E+03    0.25398E-01    0.12321E+01    0.55251E+07    0.32907E+05
    20    0.79961E+03    0.27757E-01    0.12678E+01    0.56134E+07    0.31934E+05
    21    0.80964E+03    0.30017E-01    0.13401E+01    0.56931E+07    0.31026E+05
    22    0.82009E+03    0.32053E-01    0.14388E+01    0.57647E+07    0.30180E+05
    23    0.83095E+03    0.33868E-01    0.15565E+01    0.58288E+07    0.29390E+05
    24    0.84218E+03    0.35462E-01    0.16858E+01    0.58857E+07    0.28649E+05
    25    0.85375E+03    0.36837E-01    0.18193E+01    0.59360E+07    0.27951E+05
    26    0.86563E+03    0.37995E-01    0.19496E+01    0.59801E+07    0.27290E+05
    27    0.87780E+03    0.38937E-01    0.20693E+01    0.60186E+07    0.26660E+05
    28    0.89022E+03    0.39665E-01    0.21709E+01    0.60518E+07    0.26054E+05
    29    0.90288E+03    0.40179E-01    0.22472E+01    0.60803E+07    0.25467E+05
    30    0.91573E+03    0.40482E-01    0.22906E+01    0.61045E+07    0.24892E+05
    31    0.92875E+03    0.40590E-01    0.22960E+01    0.61249E+07    0.24323E+05
    32    0.94193E+03    0.40577E-01    0.22666E+01    0.61417E+07    0.23762E+05
    33    0.95526E+03    0.40532E-01    0.22079E+01    0.61551E+07    0.23210E+05
    34    0.96873E+03    0.40543E-01    0.21252E+01    0.61652E+07    0.22669E+05
